,id,id_download_nonleak,sentinel_img_date_nonleak,landsat_img_date_nonleak,date_diff_img_nonleak,date_diff_leak_nonleak,sentinel_cloud_nonleak,landsat_cloud_nonleak,rmse_nonleak
244,25528.0,25528.0,2020-08-30,2020-09-01,2 days,16 days,8.657436,29.81,376.1385823886603
245,25692.0,25692.0,2020-08-30,2020-09-01,2 days,16 days,8.657436,29.81,711.1525291971038
246,25615.0,25615.0,2020-08-30,2020-09-01,2 days,12 days,8.657436,29.81,1314.5606189109603
247,25358.0,25358.0,2020-08-30,2020-09-01,2 days,13 days,8.657436,29.81,684.9886819671113
248,25697.0,25697.0,2020-08-30,2020-09-01,2 days,11 days,8.657436,29.81,621.2976570242936
249,25660.0,25660.0,2020-08-30,2020-09-01,2 days,12 days,8.657436,29.81,1384.2489780039723
250,25662.0,25662.0,2020-08-30,2020-09-01,2 days,12 days,8.657436,29.81,719.0558409399537
251,25680.0,25680.0,2020-08-30,2020-09-01,2 days,12 days,8.657436,29.81,1250.6982834441778
252,25683.0,25683.0,2020-08-30,2020-09-01,2 days,11 days,8.657436,29.81,732.0113659242256
253,25669.0,25669.0,2020-08-30,2020-09-01,2 days,11 days,8.657436,29.81,1245.415146614409
254,24613.0,24613.0,2020-08-30,2020-09-01,2 days,10 days,8.657436,29.81,1456.2845353962543
255,24618.0,24618.0,2020-08-30,2020-09-01,2 days,10 days,8.657436,29.81,722.6194199627427
256,24537.0,24537.0,2020-08-30,2020-09-01,2 days,10 days,8.657436,29.81,1414.5402232532745
257,25350.0,25350.0,2020-08-30,2020-09-01,2 days,10 days,8.657436,29.81,1459.0052539894295
258,25762.0,25762.0,2020-08-30,2020-09-01,2 days,9 days,8.657436,29.81,843.2929141722817
259,25705.0,25705.0,2020-08-30,2020-09-01,2 days,10 days,8.657436,29.81,576.9515181206966
260,25790.0,25790.0,2020-08-30,2020-09-01,2 days,9 days,8.657436,29.81,376.1385823886603
261,25348.0,25348.0,2020-08-30,2020-09-01,2 days,10 days,8.657436,29.81,1157.3908052020263
262,24772.0,24772.0,2020-08-30,2020-09-01,2 days,8 days,8.657436,29.81,371.2291491342573
263,24771.0,24771.0,2020-08-30,2020-09-01,2 days,8 days,8.657436,29.81,1036.1476880950515
264,24770.0,24770.0,2020-08-30,2020-09-01,2 days,8 days,8.657436,29.81,714.5184262281232
265,24773.0,24773.0,2020-08-30,2020-09-01,2 days,8 days,8.657436,29.81,586.604257550854
266,24721.0,24721.0,2020-09-24,2020-09-26,2 days,31 days,4.505315,1.74,553.263363323894
267,25841.0,25841.0,2020-09-24,2020-09-26,2 days,30 days,4.505315,1.74,1056.75736711673
268,24738.0,24738.0,2020-09-24,2020-09-26,2 days,27 days,4.505315,1.74,327.801933121187
269,25753.0,25753.0,2020-09-24,2020-09-26,2 days,29 days,4.505315,1.74,894.5423779951358
270,25594.0,25594.0,2020-09-24,2020-09-26,2 days,30 days,4.505315,1.74,970.4586341881761
271,25540.0,25540.0,2020-09-24,2020-09-26,2 days,30 days,4.505315,1.74,507.9477031652049
272,25709.0,25709.0,2020-09-24,2020-09-26,2 days,29 days,4.505315,1.74,620.9096477634104
273,24538.0,24538.0,2020-09-24,2020-09-26,2 days,29 days,4.505315,1.74,1081.4995231155497
274,25688.0,25688.0,2020-09-24,2020-09-26,2 days,28 days,4.505315,1.74,1004.4358670966757
275,25793.0,25793.0,2020-09-24,2020-09-26,2 days,27 days,4.505315,1.74,691.1811307135202
276,24707.0,24707.0,2020-09-24,2020-09-26,2 days,27 days,4.505315,1.74,632.1851576882955
277,24429.0,24429.0,2020-10-01,2020-10-03,2 days,29 days,0.288377,0.02,214.8863801473392
278,24783.0,24783.0,2020-10-01,2020-10-03,2 days,30 days,0.288377,0.02,210.91157589445962
279,24624.0,24624.0,2020-10-01,2020-10-03,2 days,31 days,0.288377,0.02,319.2989194037537
280,24739.0,24739.0,2020-10-01,2020-10-03,2 days,31 days,0.288377,0.02,262.3470127317805
281,24775.0,24775.0,2020-10-01,2020-10-03,2 days,30 days,0.288377,0.02,299.18089236872953
282,25746.0,25746.0,2020-10-01,2020-10-03,2 days,29 days,0.288377,0.02,314.03661966059497
283,25879.0,25879.0,2020-10-01,2020-10-03,2 days,27 days,0.288377,0.02,249.34087949757378
284,25760.0,25760.0,2020-10-01,2020-10-03,2 days,29 days,0.288377,0.02,206.51545869220573
285,24736.0,24736.0,2020-10-01,2020-10-03,2 days,29 days,0.288377,0.02,278.0648455669117
286,24763.0,24763.0,2020-10-01,2020-10-03,2 days,29 days,0.288377,0.02,359.8981161568474
287,24623.0,24623.0,2020-10-01,2020-10-03,2 days,29 days,0.288377,0.02,277.9134095244912
288,24424.0,24424.0,2020-10-01,2020-10-03,2 days,28 days,0.288377,0.02,327.92586520817594
289,24443.0,24443.0,2020-10-01,2020-10-03,2 days,29 days,0.288377,0.02,268.0976582795999
290,25845.0,25845.0,2020-10-01,2020-10-03,2 days,27 days,0.288377,0.02,384.353805355309
291,24688.0,24688.0,2020-10-01,2020-10-03,2 days,28 days,0.288377,0.02,291.09101967217157
292,24674.0,24674.0,2020-10-01,2020-10-03,2 days,28 days,0.288377,0.02,225.4978495252035
293,24461.0,24461.0,2020-10-01,2020-10-03,2 days,28 days,0.288377,0.02,251.6393206262728
294,24702.0,24702.0,2020-10-01,2020-10-03,2 days,27 days,0.288377,0.02,328.55558780459484
295,24526.0,24526.0,2020-10-01,2020-10-03,2 days,27 days,0.288377,0.02,212.09896150842474
296,24663.0,24663.0,2020-10-01,2020-10-03,2 days,24 days,0.288377,0.02,335.7319621677348
