Id,FECHA DE CREACIÓN,FECHA DE INICIO,FECHA FINAL,CODUNIDAD,FECHALEGALIZACION,NOMBREESTADO,NOMBRETRABAJO,CAUSAL,X,Y
1343,25/12/2022,21/12/2022,21/12/2022,757,25/12/2022,Cerrada,FTA - FUGA EN TOMA DE AGUA,"EJECUTADA, SE GENERA BA",778185.0665,2421741.568
1344,25/12/2022,21/12/2022,21/12/2022,757,25/12/2022,Cerrada,FTA - FUGA EN TOMA DE AGUA,"EJECUTADA, SE GENERA BA",778511.8857,2422075.672
1345,25/12/2022,21/12/2022,21/12/2022,757,25/12/2022,Cerrada,FTA - FUGA EN TOMA DE AGUA,"EJECUTADA, SE GENERA BA",771317.0679,2410884.981
1348,25/12/2022,21/12/2022,21/12/2022,757,25/12/2022,Cerrada,FTA - FUGA EN TOMA DE AGUA,"EJECUTADA, SE GENERA BA",779221.6294,2419896.897
1350,25/12/2022,21/12/2022,21/12/2022,757,25/12/2022,Cerrada,FTA - FUGA EN TOMA DE AGUA,"EJECUTADA, SE GENERA BA",778917.7443,2426519.941
1351,25/12/2022,21/12/2022,21/12/2022,757,25/12/2022,Cerrada,FTA - FUGA EN TOMA DE AGUA,"EJECUTADA, NO GENERA BA",781405.492,2419475.365
1353,25/12/2022,21/12/2022,21/12/2022,757,25/12/2022,Cerrada,FTA - FUGA EN TOMA DE AGUA,"EJECUTADA, SE GENERA BA",782298.1402,2419163.404
1354,25/12/2022,21/12/2022,21/12/2022,757,25/12/2022,Cerrada,FTA - FUGA EN TOMA DE AGUA,"EJECUTADA, NO GENERA BA",779112.9318,2418554.971
1355,25/12/2022,21/12/2022,21/12/2022,757,25/12/2022,Cerrada,FTA - FUGA EN TOMA DE AGUA,"EJECUTADA, NO GENERA BA",779116.7547,2418562.893
1356,25/12/2022,14/12/2022,14/12/2022,757,25/12/2022,Cerrada,FTA - FUGA EN TOMA DE AGUA,"EJECUTADA, SE GENERA BA",783489.075,2418485.966
1357,25/12/2022,14/12/2022,14/12/2022,757,25/12/2022,Cerrada,FTA - FUGA EN TOMA DE AGUA,"EJECUTADA, SE GENERA BA",776966.335,2417281.57
1358,25/12/2022,14/12/2022,14/12/2022,757,25/12/2022,Cerrada,FTA - FUGA EN TOMA DE AGUA,"EJECUTADA, SE GENERA BA",784580.69,2428585.255
1359,25/12/2022,14/12/2022,14/12/2022,757,25/12/2022,Cerrada,FTA - FUGA EN TOMA DE AGUA,"EJECUTADA, NO GENERA BA",784666.2115,2426613.777
1360,22/12/2022,16/12/2022,16/12/2022,484,26/12/2022,Cerrada,FTA - FUGA EN TOMA DE AGUA,"EJECUTADA, SE GENERA BA",782189.5651,2423655.3
1362,22/12/2022,22/12/2022,22/12/2022,757,22/12/2022,Cerrada,FTA - FUGA EN TOMA DE AGUA,SE CANCELA,784058.8445,2422320.367
1363,28/12/2022,28/12/2022,28/12/2022,757,28/12/2022,Cerrada,FTA - FUGA EN TOMA DE AGUA,"EJECUTADA, SE GENERA BA",778047.5213,2419160.585
1364,29/12/2022,28/12/2022,28/12/2022,757,31/12/2022,Cerrada,FTA - FUGA EN TOMA DE AGUA,"EJECUTADA, SE GENERA BA",778400.8432,2424133.662
1365,29/12/2022,27/12/2022,27/12/2022,757,30/12/2022,Cerrada,FTA - FUGA EN TOMA DE AGUA,"EJECUTADA, SE GENERA BA",785465.6362,2420725.161
1366,25/12/2022,26/12/2022,26/12/2022,757,26/12/2022,Cerrada,FTA - FUGA EN TOMA DE AGUA,"EJECUTADA, SE GENERA BA",780196.4573,2421922.782
1367,23/12/2022,28/12/2022,28/12/2022,757,28/12/2022,Cerrada,FTA - FUGA EN TOMA DE AGUA,"EJECUTADA, NO GENERA BA",784188.5707,2418404.027
1372,30/12/2022,29/12/2022,29/12/2022,757,31/12/2022,Cerrada,FTA - FUGA EN TOMA DE AGUA,"EJECUTADA, SE GENERA BA",784111.2089,2423843.973
1373,30/12/2022,29/12/2022,29/12/2022,757,31/12/2022,Cerrada,FTA - FUGA EN TOMA DE AGUA,"EJECUTADA, SE GENERA BA",782547.5835,2427700.307
1374,30/12/2022,29/12/2022,29/12/2022,757,31/12/2022,Cerrada,FTA - FUGA EN TOMA DE AGUA,"EJECUTADA, SE GENERA BA",783353.0275,2427310.83
